"id","name","status","movement_bucket","tags","movement_direction","skating_phase","coordination_level","default_duration_sec","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","video_url","session_type","Plyo","inspired_by","coach_preference"
"MC_016","Z-Pattern Run","active","multi_direction","change_of_direction, coordination, agility","multi_directional","change_of_direction","moderate","60","low-med","10","99","Cones","10x10 yd","Zig-zag run changing direction","Stay low through cuts","","movement,conditioning,circuit","FALSE","self","1"
"MC_017","Deceleration Drop Step","active","deceleration","deceleration, braking, control","linear","deceleration","moderate","45","low-med","10","99","None","10 yd lane","Accelerate then drop hips to stop","Sink hips","","movement,conditioning,circuit","FALSE","self","1"
"MC_018","Forward → Lateral Transition","active","multi_direction","transitions, lateral, coordination","multi_directional","transitions","moderate","60","low-med","10","99","None","10 yd lane","Jog forward then shuffle sideways","Smooth transitions","","movement,conditioning,circuit","FALSE","self","1"
"MC_019","Reaction Point Call","active","reaction","reaction, awareness, coordination","multi_directional","change_of_direction","simple","45","low","8","99","None","6x6 ft","Move toward called direction cue","Quick reaction, easy speed","","movement,circuit","FALSE","self","1"
"MC_020","Reaction Ball Drop","active","reaction","reaction, hand_eye, coordination","multi_directional","change_of_direction","moderate","45","low-med","10","99","Reaction ball","6x6 ft","React to unpredictable bounce","Eyes first","","movement,circuit","FALSE","self","1"
"MC_021","Mirror Shuffle","active","reaction","reaction, lateral, mirroring","lateral","change_of_direction","moderate","60","low-med","10","99","Partner","6x6 ft","Mirror partner’s lateral movement","Stay balanced","","movement,circuit","FALSE","self","1"
"MC_022","Single-Leg Hop Stick","active","balance_control","single_leg, landing_control, plyometric","linear","acceleration","moderate","45","med","12","99","None","6x6 ft","Hop forward and stick landing","Quiet landing","","movement,conditioning,circuit","TRUE","self","1"
"MC_023","Forward Skip to Stick","active","coordination","rhythm, coordination, landing_control","linear","acceleration","moderate","45","low-med","8","99","None","10 yd lane","Skip forward then stick landing","Control landing","","movement,conditioning,circuit","FALSE","self","1"
"MC_039","Lateral Two-Foot Hurdle Jump","active","lateral_movement","lateral_jump, landing_control, plyometric","lateral","change_of_direction","moderate","30","med","12","99","Hurdles","6 ft lane","Jump laterally over hurdle with two feet and stick landing","Stay square, don’t rush","","movement,conditioning,circuit","TRUE","self","1"
"MC_026","Forward Run → Backpedal","active","multi_direction","transitions, forward_backward, coordination","multi_directional","transitions","moderate","45","low-med","8","99","None","10 yd lane","Run forward then backpedal back","Smooth change","","movement,conditioning,circuit","FALSE","self","1"
"MC_027","Balance Beam Walk","active","balance_control","balance, proprioception, posture","linear","edgework","simple","45","low","8","99","Line/Tape","10 ft line","Walk heel-to-toe along line","Slow and steady","","movement,conditioning,circuit","FALSE","self","1"
"MC_028","Lateral Cone Tap","active","coordination","lateral, coordination, agility","lateral","change_of_direction","moderate","45","low-med","8","99","Cones","6x6 ft","Shuffle and tap cones side to side","Stay low","","movement,conditioning,circuit","FALSE","self","1"
"MC_029","Reaction Color Call","active","reaction","reaction, decision_making, awareness","multi_directional","change_of_direction","simple","45","low","8","99","Colored cones","6x6 ft","Move to cone color that’s called","Decision first","","movement,circuit","FALSE","self","1"
"MC_030","Single-Leg Forward Reach","active","balance_control","single_leg, balance, hinge","multi_directional","edgework","moderate","45","low","8","99","None","4x4 ft","Reach forward while balancing on one leg","Hips square","","movement,conditioning,circuit","FALSE","self","1"
"MC_031","Quick Step-Over Hurdles","active","coordination","quick_feet, hurdle_control, rhythm","linear","top_speed","moderate","45","low-med","10","99","Mini hurdles","6 ft lane","Quick step-over pattern","Light feet","","movement,conditioning,circuit","FALSE","self","1"
"MC_032","Lateral Step-Over Hurdles","active","lateral_movement","lateral, hurdle_control, coordination","lateral","change_of_direction","moderate","45","low-med","10","99","Mini hurdles","6 ft lane","Step laterally over hurdles","Control foot placement","","movement,conditioning,circuit","FALSE","self","1"
"MC_033","Forward Accel → Hold","active","deceleration","acceleration, deceleration, control","linear","deceleration","moderate","45","low-med","10","99","None","10 yd lane","Accelerate then hold athletic stance","Don’t drift","","movement,conditioning,circuit","FALSE","self","1"
"MC_040","Lateral to Forward Hurdle Jump","active","multi_direction","lateral_jump, transition, plyometric","multi_directional","transitions","complex","30","med","12","99","Hurdles","6x6 ft","Jump laterally over hurdle then immediately forward over next hurdle","Control direction change","","movement,conditioning,circuit","TRUE","self","1"
"MC_035","Lateral Shuffle + Reach","active","multi_direction","lateral, coordination, reach","multi_directional","change_of_direction","moderate","60","low-med","10","99","None","6x6 ft","Shuffle laterally adding arm reach","Stay coordinated","","movement,conditioning,circuit","FALSE","self","1"
"MC_036","Reaction Clap Start","active","reaction","reaction, acceleration_start, awareness","linear","acceleration","simple","45","low-med","8","99","None","10 yd lane","Start movement on clap cue","Quick start, easy speed","","movement,circuit","FALSE","self","1"
"MC_040","Lateral to Forward Hurdle Jump","active","multi_direction","lateral_jump, transition, plyometric","multi_directional","transitions","complex","30","med","12","99","Hurdles","6x6 ft","Jump laterally over hurdle then immediately forward over next hurdle","Control direction change","","movement,conditioning,circuit","TRUE","self","1"
"MC_041","Forward to Lateral Hurdle Jump","active","multi_direction","linear_jump, lateral_transition, plyometric","multi_directional","transitions","complex","30","med","12","99","Hurdles","6x6 ft","Jump forward over hurdle then immediately laterally over next hurdle","Stick each landing","","movement,conditioning,circuit","TRUE","self","1"
"MC_042","Half-Body Bear Crawl Control","active","coordination","crawl_pattern, trunk_control, coordination","multi_directional","transitions","moderate","45","low-med","8","99","None","10 ft lane","Start in bear crawl, move right arm and right leg only for several steps, then switch to left side","Keep hips level, slow and controlled","","movement","FALSE","self","1"
"MC_045","Lateral Paired-Limb Crawl","active","coordination","crawl_pattern, lateral, coordination","lateral","change_of_direction","moderate","45","low-med","8","99","None","10 ft lane","Reach right arm and right leg laterally, then bring left arm and left leg to meet, repeat both directions","Controlled reach, no hip sway","","movement","FALSE","self","1"
"MC_043","Lateral Single-Leg Jump to Vertical Jump","active","plyometric","single_leg_jump, lateral_to_vertical, plyometric","multi_directional","acceleration","complex","30","med","10","99","None","6 ft lane","Perform a lateral jump on one leg immediately followed by a vertical jump on the same leg","Stick the landing before next rep","","movement","TRUE","self","1"
"MC_044","Half-Body Bear Crawl Control","active","coordination","crawl_pattern, trunk_control, coordination","multi_directional","transitions","moderate","45","low-med","8","99","None","10 ft lane","Start in bear crawl, move right arm and right leg together for several controlled steps, then switch to left side","Slow tempo, hips stay level","","movement","FALSE","self","1"
"MC_046","Banded Stride Circles","active","lateral_stride","band_resisted, stride_pattern, hip_extension","lateral","acceleration","moderate","45","low-med","10","99","Band","6x6 ft","With band around waist or ankles, extend leg into full stride and circle back under control","Full extension, hips level, control return","","movement","FALSE","Jack Hughes","2"
"MC_047","90° Single-Leg Hop","active","plyometric","single_leg, rotational_hop, landing_control","multi_directional","change_of_direction","moderate","30","med","10","99","None","6x6 ft","Hop 90 degrees on single leg and stick landing","Quiet landing, knee stable","","movement","TRUE","Jack Hughes","2"
"MC_048","Banded Side Steps","active","lateral_stride","band_resisted, glute_activation, skating_pattern","lateral","edgework","simple","45","low","8","99","Band","6 ft lane","With band above knees, step laterally maintaining athletic stance","Hips level, tension on band","","movement","FALSE","Jack Hughes","2"
"MC_049","Banded Ankle Side Steps","active","lateral_stride","band_resisted, ankle_control, lateral_drive","lateral","edgework","moderate","45","low-med","10","99","Band","6 ft lane","With band on ankles, step laterally maintaining posture","Push through outside foot","","movement","FALSE","Jack Hughes","2"
"MC_050","Banded Ankle Strides","active","lateral_stride","band_resisted, stride_extension, hip_drive","linear","acceleration","moderate","45","low-med","10","99","Band","10 yd lane","With band on ankles, step back into full stride and return to start","Extend fully, drive through toe","","movement","FALSE","Jack Hughes","2"
"MC_051","Side Shifting Squats","active","lateral_stride","lateral_shift, adductors, skating_depth","lateral","edgework","simple","60","low","8","99","None","6x6 ft","Wide stance squat shifting weight side to side","Sit into hips, stay low","","movement","FALSE","Jack Hughes","1"
"MC_052","BOSU Banded Stride Work","active","balance_control","bosu, band_resisted, single_leg_control","multi_directional","edgework","complex","45","low-med","12","99","BOSU + Band","6x6 ft","Stand on BOSU, banded leg strides outward and returns","Hips stable, slow control","","movement","FALSE","Jack Hughes","2"
"MC_053","BOSU Open Hip Rotation","active","balance_control","bosu, hip_rotation, control","multi_directional","edgework","complex","45","low","12","99","BOSU","4x4 ft","On BOSU, lift leg, open hip 90°, rotate back under control","Small circle, no wobble","","movement","FALSE","Jack Hughes","1"
"MC_054","Crossover → Hill Explode","active","acceleration_mechanics","crossover_step, hill_sprint, acceleration","lateral","acceleration","moderate","30","med","12","99","Hill","20 yd hill","Crossover step then immediately sprint uphill","Drive first 3 steps hard","","movement","TRUE","Jack Hughes","2"
"MC_055","Skater Hop → Bunny Hop","active","plyometric","lateral_to_vertical, plyometric, coordination","multi_directional","transitions","moderate","30","med","10","99","Hurdle","6x6 ft","Perform lateral skater hop immediately into two-foot vertical hop","Stick landing before next rep","","movement","TRUE","Jack Hughes","2"
"MC_056","Partner Explosive Lunge","active","acceleration_mechanics","resisted_lunge, projection, hip_drive","linear","acceleration","complex","30","med","14","99","Partner","10 yd lane","Partner holds rear leg lightly as athlete explosively lunges forward","Drive through front leg aggressively","","movement","TRUE","Jack Hughes","2"
"MC_057","BOSU Banded Side Stride","active","balance_control","bosu, band_resisted, lateral_stride","lateral","edgework","complex","45","low-med","12","99","BOSU + Band","6x6 ft","On BOSU single leg, banded stride horizontally then return","Hips square, slow control","","movement","FALSE","Jack Hughes","2"
"MC_058","Elevated Box Bunny Hop → Sprint","active","plyometric","rebound_jump, sprint_transition, elastic","multi_directional","acceleration","complex","30","med","12","99","Box + Hurdles","10 yd lane","Hop off box into bunny hops then sprint immediately","Explode quickly into sprint","","movement","TRUE","Connor McDavid","3"
"MC_059","Elevated Box Bunny Hop → Soft Stick","active","plyometric","rebound_jump, landing_control, elastic","multi_directional","deceleration","complex","30","med","12","99","Box + Hurdles","6x6 ft","Hop off box into bunny hops and finish with controlled soft landing","Absorb force, quiet feet","","movement","TRUE","Connor McDavid","2"
"MC_060","Horizontal Bunny Hops","active","plyometric","lateral_jump, elastic_rebound, ankle_stiffness","lateral","change_of_direction","moderate","30","med","10","99","Hurdle","6 ft lane","Explosive two-foot lateral hops over single hurdle repeatedly","Stay springy, minimal ground time","","movement","TRUE","self","2"
"MC_061","Controlled Crossover Mechanics","active","lateral_stride","crossover, stride_pattern, skating_specific","lateral","acceleration","moderate","45","low-med","10","99","None","10 yd lane","Perform slow exaggerated crossover steps focusing on full push and hip extension","Push under body, chest tall, control first then speed","","movement","FALSE","self","2"
"MC_062","Crossover Bound Distance","active","lateral_stride","crossover_bound, lateral_power, projection","lateral","acceleration","complex","30","med","12","99","None","10 yd lane","Explosive crossover step into powerful lateral bound for distance","Drive through outside hip, stick landing","","movement","TRUE","self","3"
"MC_063","Brake → Crossover Sprint","active","deceleration","brake, crossover, reacceleration","lateral","change_of_direction","complex","30","med-high","12","99","None","10 yd lane","Sprint laterally, brake hard on outside leg, immediately crossover and sprint opposite direction","Violent stop, powerful push out","","movement","TRUE","self","3"
"MC_064","Forward Pogo Series","active","elastic_prep","pogo, ankle_stiffness, elastic","linear","acceleration","simple","30","low-med","8","99","None","10 yd lane","Small quick pogo jumps forward keeping legs mostly straight","Minimal knee bend, quick ground contact","","movement","TRUE","self","2"
"MC_065","Lateral Pogo Series","active","elastic_prep","pogo, lateral_elastic, ankle_stiffness","lateral","change_of_direction","simple","30","low-med","8","99","None","6 ft lane","Quick small side-to-side pogo jumps","Stay springy, light contacts","","movement","TRUE","self","2"
"MC_066","Split-Stance Pogo","active","elastic_prep","split_stance, elastic, skating_transfer","linear","acceleration","moderate","30","low-med","10","99","None","6 ft lane","In split stance, perform small rapid pogo jumps emphasizing front leg stiffness","Front leg drives, quick rebound","","movement","TRUE","self","2"
"MC_067","Split-Stance Bound","active","acceleration_mechanics","split_stance, projection, hip_extension","linear","acceleration","complex","30","med","12","99","None","10 yd lane","Explode forward from split stance into long bound and stick landing","Push through front hip, full extension","","movement","TRUE","self","3"
"MC_068","Split-Stance Lateral Bound","active","lateral_stride","split_stance, lateral_power, projection","lateral","acceleration","complex","30","med","12","99","None","6x6 ft","Explode laterally from split stance into powerful side bound","Drive off inside edge, stick landing","","movement","TRUE","self","3"
"MC_069","Forward Sprint → Hard Stop → Re-Accel","active","deceleration","brake, acceleration, reaccel","linear","deceleration","complex","30","med-high","12","99","None","15 yd lane","Sprint forward, drop hips to stop quickly, immediately re-accelerate forward","Sink hips, powerful first step out","","movement","TRUE","self","3"
"MC_070","Lateral Brake → Vertical Jump","active","deceleration","brake_to_jump, lateral_power, transition","multi_directional","transitions","complex","30","med","12","99","None","6x6 ft","Shuffle laterally, brake hard, immediately explode into vertical jump","Control stop before jump","","movement","TRUE","self","2"
"MC_071","Drop Step → Sprint","active","acceleration_mechanics","drop_step, acceleration_start, skating_transfer","lateral","acceleration","moderate","30","med","10","99","None","10 yd lane","Perform defensive drop step then immediately sprint forward","Quick turn, powerful first 3 steps","","movement","TRUE","self","3"
"MC_072","Backward March Mechanics","active","acceleration_mechanics","backward, posture, knee_drive","linear","acceleration","simple","45","low","8","99","None","10 yd lane","March backward emphasizing knee lift and posture","Stay tall, drive back through toe","","movement","FALSE","self","2"
"MC_073","Backward Crossover Mechanics","active","lateral_stride","backward_crossover, lateral_drive, skating_specific","lateral","change_of_direction","moderate","45","low-med","10","99","None","10 yd lane","Perform slow backward crossovers focusing on full push","Push under hips, control edge position","","movement","FALSE","self","2"
"MC_074","Forward → Backward → Forward Transition","active","deceleration","transition, pivot, acceleration","multi_directional","transitions","complex","30","med","12","99","None","15 yd lane","Sprint forward, pivot to backward, pivot again to forward sprint","Stay low through pivots","","movement","TRUE","self","3"
"MC_075","A-Skip (Sprint Mechanics)","active","acceleration_mechanics","sprint_mechanics, rhythm, projection","linear","top_speed","simple","45","low-med","8","99","None","15 yd lane","Perform A-skip emphasizing knee lift and foot strike under hips","Tall posture, strike under body","","movement","FALSE","self","2"
"MC_076","Straight-Leg Bound","active","elastic_prep","top_speed, hamstring_elastic, projection","linear","top_speed","complex","30","med","12","99","None","15 yd lane","Perform straight-leg bounding with minimal knee bend","Snap down under hips","","movement","TRUE","self","3"
"MC_077","Flying 10 Sprint","active","acceleration_mechanics","max_velocity, sprint, posture","linear","top_speed","complex","30","med-high","14","99","None","30 yd lane","Build up gradually for 20 yards then sprint max speed for final 10","Relax at top speed","","movement","TRUE","self","3"
"MC_078","Crossover → Rotational Jump","active","lateral_stride","rotation, crossover_power, projection","multi_directional","acceleration","complex","30","med","12","99","None","6x6 ft","Perform crossover step then explode into rotational jump","Land controlled before next rep","","movement","TRUE","self","3"
"MC_079","Open-Hip Projection Bound","active","acceleration_mechanics","open_hip, projection, stride_power","lateral","acceleration","complex","30","med","12","99","None","10 yd lane","Open hips slightly and explode into lateral-forward bound","Drive through outside hip","","movement","TRUE","self","3"
"MC_080","Reactive Drop Step Sprint","active","acceleration_mechanics","reaction, drop_step, acceleration","lateral","acceleration","complex","30","med","12","99","None","10 yd lane","On visual cue, perform drop step and sprint immediately","Explode on cue","","movement","TRUE","self","3"
"MC_081","Reactive Crossover Chase","active","lateral_stride","reaction, crossover, reaccel","lateral","change_of_direction","complex","30","med-high","14","99","Partner","10 yd lane","React to partner movement and perform crossover sprint to match","Violent push, quick decision","","movement","TRUE","self","3"
